asin,status,syncroPrice,amazonPrice,syncroStock,amazonStock,priceDiff,stockDiff
"B097QVTMD6","MISSING_IN_AMAZON","45.94",,"13",,,
"B07W3RQJ3N","MISSING_IN_AMAZON","87.38",,"20",,,
"B07JQ8P4VZ","MISSING_IN_AMAZON","112.61",,"20",,,
"B008OJ6YUO","MISSING_IN_AMAZON","40.55",,"20",,,
"B09NBVMX6J","PRICE_MISMATCH","211.31","211.75","20","20","-0.44","0"
"B08M3J32SD","MISSING_IN_AMAZON","130.63",,"20",,,
"B07CX729M2","MISSING_IN_AMAZON","315.72",,"2",,,
"B09QKD4G6L","MISSING_IN_AMAZON","0",,"0",,,
"B0D5LPGJ3C","MISSING_IN_AMAZON","123.43",,"19",,,
"B00XY91ZC6","MISSING_IN_AMAZON","0",,"0",,,
"B008OAF8G4","MISSING_IN_AMAZON","43.25",,"20",,,
"B08KVVRL55","MISSING_IN_AMAZON","78.21",,"10",,,
"B00EODX7CC","MISSING_IN_AMAZON","45.58",,"4",,,
"B0BS1QYC58","MATCH","173.88","173.88","19","19","0","0"
"B08GVCMY4W","MISSING_IN_AMAZON","84.09",,"15",,,
"B0CKXPF8P2","MATCH","140.69","140.69","20","20","0","0"
"B000S6SO1S","MISSING_IN_AMAZON","63.79",,"20",,,
"B0DMNTQDXK","MATCH","200.92","200.92","20","20","0","0"
"B0DP654JHZ","MISSING_IN_AMAZON","51.24",,"20",,,
"B091J3YHYS","MISSING_IN_AMAZON","0",,"0",,,
"B0D4QCRG14","MISSING_IN_AMAZON","259.08",,"14",,,
"B005H40MMK","PRICE_MISMATCH","117.17","117.41","0","0","-0.24","0"
"B0BPLQY668","MATCH","102.94","102.94","20","20","0","0"
"B0CJ7FR6Y3","PRICE_MISMATCH","0","121.04","0","0","-121.04","0"
"B09KLH5SKX","MATCH","144.21","144.21","20","20","0","0"
"B0CZWLPMQJ","PRICE_MISMATCH","89.02","89.2","0","0","-0.18","0"
"B09LLT56B3","MISSING_IN_AMAZON","0",,"0",,,
"B0B8XMLZRL","MATCH","134.24","134.24","20","20","0","0"
"B07FNNFYZZ","MATCH","181.15","181.15","9","9","0","0"
"B0BLBX663N","MATCH","42.17","42.17","20","20","0","0"
"B0028RCZBK","MISSING_IN_AMAZON","96.36",,"20",,,
"B0C2YLGG3P","MATCH","44.04","44.04","20","20","0","0"
"B0DF2KBT8R","MISSING_IN_AMAZON","45.94",,"20",,,
"B0CFV4TQ93","MISSING_IN_AMAZON","53.03",,"20",,,
"B07587K7PJ","PRICE_MISMATCH","69.83","69.98","20","20","-0.15","0"
"B0C5782TBS","MISSING_IN_AMAZON","118.02",,"20",,,
"B09HG9C2JJ","MISSING_IN_AMAZON","87.2",,"20",,,
"B0DST1SC14","MISSING_IN_AMAZON","69.42",,"9",,,
"B07SZTJDBQ","MISSING_IN_AMAZON","45.84",,"20",,,
"B0CQXGCPBL","MATCH","250.86","250.86","20","20","0","0"
"B09JXN3G24","MATCH","366.17","366.17","8","8","0","0"
"B07VBWNYTH","MATCH","171.69","171.69","20","20","0","0"
"B0CTN2VFCD","MATCH","246.81","246.81","20","20","0","0"
"B09W9NBNJ8","MISSING_IN_AMAZON","231.08",,"20",,,
"B09G2S1NKX","MATCH","50.1","50.1","20","20","0","0"
"B08F2GC23K","MISSING_IN_AMAZON","83.8",,"2",,,
"B0C6DZ56DT","MISSING_IN_AMAZON","0",,"0",,,
"B0F624F5BB","MATCH","67.42","67.42","20","20","0","0"
"B0936YMQ4V","MISSING_IN_AMAZON","56.63",,"20",,,
"B0D8FV3VY5","MATCH","51.18","51.18","20","20","0","0"
"B083VXCGXM","MATCH","62.15","62.15","4","4","0","0"
"B093D9SBS3","MATCH","161.27","161.27","20","20","0","0"
"B08LGLSZP5","MISSING_IN_AMAZON","1020.89",,"20",,,
"B0D72S7HC1","MATCH","124.97","124.97","20","20","0","0"
"B0D1FX34RY","MATCH","98.37","98.37","0","0","0","0"
"B09S1DHVBW","PRICE_MISMATCH","106.99","107.21","20","20","-0.22","0"
"B0CN94JFJ8","MISSING_IN_AMAZON","47.74",,"20",,,
"B0DC6H9YF8","MISSING_IN_AMAZON","96.41",,"9",,,
"B0DY49WJLF","MATCH","47.11","47.11","20","20","0","0"
"B0BQN7JJTG","PRICE_MISMATCH","58.43","58.55","20","20","-0.12","0"
"B08BV95FBT","MATCH","169.12","169.12","10","10","0","0"
"B0764JYF6D","MATCH","217.87","217.87","16","16","0","0"
"B0DFH1T2DS","MISSING_IN_AMAZON","62.03",,"16",,,
"B0BQWYQL71","MATCH","100.06","100.06","20","20","0","0"
"B0D28S2BCR","MATCH","111.56","111.56","0","0","0","0"
"B07Q97TRSV","MATCH","141.45","141.45","20","20","0","0"
"B0BJ7BY225","MISSING_IN_AMAZON","193.31",,"20",,,
"B0DZTX1JWH","MATCH","144.75","144.75","17","17","0","0"
"B0CSQKJVDL","PRICE_MISMATCH","117.78","118.02","10","10","-0.24","0"
"B085HHR4MN","MISSING_IN_AMAZON","60.33",,"20",,,
"B075VTWHYG","MATCH","81.98","81.98","20","20","0","0"
"B0CYH43RGR","PRICE_MISMATCH","86.84","87.02","14","14","-0.18","0"
"B083V2CJ72","MISSING_IN_AMAZON","47.58",,"20",,,
"B0D6R8ZB61","PRICE_MISMATCH","101.59","101.8","20","20","-0.21","0"
"B0BV2L5CPB","MISSING_IN_AMAZON","261.65",,"20",,,
"B0C4P9QWZ8","MISSING_IN_AMAZON","60.23",,"20",,,
"1119724740","MISSING_IN_AMAZON","314.52",,"0",,,
"B086R97ZF7","MATCH","72.97","72.97","20","20","0","0"
"B0D2K8894V","MATCH","72.97","72.97","4","4","0","0"
"B0CQCTY24W","MISSING_IN_AMAZON","122.47",,"20",,,
"B0B2BW5V39","PRICE_MISMATCH","45.84","45.94","20","20","-0.1","0"
"B0CKQD7H7Z","MATCH","56.75","56.75","20","20","0","0"
"B0971QDS7J","MATCH","199.34","199.34","20","20","0","0"
"B0CL6HCKDF","MATCH","45.94","45.94","20","20","0","0"
"B09CQ9RWSM","MISSING_IN_AMAZON","71.02",,"20",,,
"B0DQT3DG2B","MISSING_IN_AMAZON","87.38",,"20",,,
"B0DT151KR7","MATCH","85.41","85.41","20","20","0","0"
"B0CD83GMQ1","MISSING_IN_AMAZON","168.13",,"14",,,
"B0B5V62BYT","MATCH","70.14","70.14","20","20","0","0"
"B0D9862CQY","MATCH","136.04","136.04","20","20","0","0"
"B0D1YH31FB","MATCH","99.79","99.79","20","20","0","0"
"B0017NOVR2","MISSING_IN_AMAZON","113.53",,"6",,,
"B0BLSK1NY6","MISSING_IN_AMAZON","40.45",,"20",,,
"1640781889","MISSING_IN_AMAZON","45.94",,"20",,,
"B0CXB3TDX5","MISSING_IN_AMAZON","946.83",,"20",,,
"B00CHBD3Y0","MATCH","82.63","82.63","20","20","0","0"
"B0DT9ZD94L","PRICE_MISMATCH","80.01","80.18","9","9","-0.17","0"
"B0DJV8XW37","PRICE_MISMATCH","92.6","92.79","20","20","-0.19","0"
"B086SGVRLK","MISSING_IN_AMAZON","0",,"0",,,
"B003KBGTYM","MISSING_IN_AMAZON","323.1",,"5",,,
"B0D4YWJ7H2","PRICE_AND_STOCK_MISMATCH","65.17","65.3","6","8","-0.13","-2"
"B08MN7VFSR","MATCH","192.18","192.18","20","20","0","0"
"B079XYLNGH","MATCH","115.51","115.51","20","20","0","0"
"B0DSL3QZXY","PRICE_MISMATCH","85.41","85.58","20","20","-0.17","0"
"B0CN39TZ2V","PRICE_MISMATCH","74.62","74.77","20","20","-0.15","0"
"B074GZNR3V","MATCH","103.24","103.24","20","20","0","0"
